
List of Experiments:
+----+----------------------------------------+---------------------+-------------------------+-------------------------------------+
|    | ID                                     | Name                | Date                    | Description                         |
+====+========================================+=====================+=========================+=====================================+
|  8 | s4_very_long_max_concurrency           | 2026-07-24 22:44:50 | Very long prompt, ma... | TTFT: 5.3985                        |
|    |                                        |                     |                         | TTFT_95: 15.8665                    |
|    |                                        |                     |                         | TOP_5_TTFT: 15.8722                 |
|    |                                        |                     |                         | LATENCY: 12.9703                    |
|    |                                        |                     |                         | LATENCY_95: 22.5692                 |
|    |                                        |                     |                         | TOP_5_LATENCY: 26.2217              |
|    |                                        |                     |                         | TPOT: 0.1033                        |
|    |                                        |                     |                         | THROUGHPUT: 31894.3653              |
|    |                                        |                     |                         | THROUGHPUT_INPUT_TOKENS: 31723.5188 |
|    |                                        |                     |                         | THROUGHPUT_OUTPUT_TOKENS: 170.8465  |
|    |                                        |                     |                         | RPS: 1.3602                         |
|    |                                        |                     |                         | LONGER_THAN_60_LATENCY: 0           |
|    |                                        |                     |                         | LONGER_THAN_120_LATENCY: 0          |
|    |                                        |                     |                         | LONGER_THAN_180_LATENCY: 0          |
|    |                                        |                     |                         | FAILED_REQUESTS: 0                  |
|    |                                        |                     |                         | FAILED_REQUESTS_PER_HOUR: 0         |
+----+----------------------------------------+---------------------+-------------------------+-------------------------------------+
|  7 | s3_very_long_sequential_long_decode    | 2026-07-24 22:44:31 | Very long prompt, se... | TTFT: 0.8610                        |
|    |                                        |                     |                         | TTFT_95: 1.3801                     |
|    |                                        |                     |                         | TOP_5_TTFT: 1.3997                  |
|    |                                        |                     |                         | LATENCY: 1.8898                     |
|    |                                        |                     |                         | LATENCY_95: 2.3893                  |
|    |                                        |                     |                         | TOP_5_LATENCY: 2.4126               |
|    |                                        |                     |                         | TPOT: 0.0138                        |
|    |                                        |                     |                         | THROUGHPUT: 12394.1808              |
|    |                                        |                     |                         | THROUGHPUT_INPUT_TOKENS: 12321.9025 |
|    |                                        |                     |                         | THROUGHPUT_OUTPUT_TOKENS: 72.2782   |
|    |                                        |                     |                         | RPS: 0.5291                         |
|    |                                        |                     |                         | LONGER_THAN_60_LATENCY: 0           |
|    |                                        |                     |                         | LONGER_THAN_120_LATENCY: 0          |
|    |                                        |                     |                         | LONGER_THAN_180_LATENCY: 0          |
|    |                                        |                     |                         | FAILED_REQUESTS: 0                  |
|    |                                        |                     |                         | FAILED_REQUESTS_PER_HOUR: 0         |
+----+----------------------------------------+---------------------+-------------------------+-------------------------------------+
|  6 | s2_short_prompt_high_concurrency       | 2026-07-24 22:42:57 | Short prompt, high c... | TTFT: 4.2710                        |
|    |                                        |                     |                         | TTFT_95: 23.8195                    |
|    |                                        |                     |                         | TOP_5_TTFT: 23.8340                 |
|    |                                        |                     |                         | LATENCY: 12.2669                    |
|    |                                        |                     |                         | LATENCY_95: 46.6819                 |
|    |                                        |                     |                         | TOP_5_LATENCY: 47.7606              |
|    |                                        |                     |                         | TPOT: 0.0787                        |
|    |                                        |                     |                         | THROUGHPUT: 2848.8267               |
|    |                                        |                     |                         | THROUGHPUT_INPUT_TOKENS: 2477.7068  |
|    |                                        |                     |                         | THROUGHPUT_OUTPUT_TOKENS: 371.1199  |
|    |                                        |                     |                         | RPS: 2.3800                         |
|    |                                        |                     |                         | LONGER_THAN_60_LATENCY: 0           |
|    |                                        |                     |                         | LONGER_THAN_120_LATENCY: 0          |
|    |                                        |                     |                         | LONGER_THAN_180_LATENCY: 0          |
|    |                                        |                     |                         | FAILED_REQUESTS: 0                  |
|    |                                        |                     |                         | FAILED_REQUESTS_PER_HOUR: 0         |
+----+----------------------------------------+---------------------+-------------------------+-------------------------------------+
|  5 | s1_long_prompt_sequential_short_decode | 2026-07-24 22:42:41 | Long prompt, sequent... | TTFT: 0.3919                        |
|    |                                        |                     |                         | TTFT_95: 0.6107                     |
|    |                                        |                     |                         | TOP_5_TTFT: 0.6129                  |
|    |                                        |                     |                         | LATENCY: 1.0425                     |
|    |                                        |                     |                         | LATENCY_95: 1.5897                  |
|    |                                        |                     |                         | TOP_5_LATENCY: 1.6945               |
|    |                                        |                     |                         | TPOT: 0.0120                        |
|    |                                        |                     |                         | THROUGHPUT: 10000.8462              |
|    |                                        |                     |                         | THROUGHPUT_INPUT_TOKENS: 9917.4035  |
|    |                                        |                     |                         | THROUGHPUT_OUTPUT_TOKENS: 83.4427   |
|    |                                        |                     |                         | RPS: 0.9591                         |
|    |                                        |                     |                         | LONGER_THAN_60_LATENCY: 0           |
|    |                                        |                     |                         | LONGER_THAN_120_LATENCY: 0          |
|    |                                        |                     |                         | LONGER_THAN_180_LATENCY: 0          |
|    |                                        |                     |                         | FAILED_REQUESTS: 0                  |
|    |                                        |                     |                         | FAILED_REQUESTS_PER_HOUR: 0         |
+----+----------------------------------------+---------------------+-------------------------+-------------------------------------+
|  4 | s4_very_long_max_concurrency           | 2026-07-24 22:32:32 | Very long prompt, ma... | TTFT: 6.4483                        |
|    |                                        |                     |                         | TTFT_95: 15.9345                    |
|    |                                        |                     |                         | TOP_5_TTFT: 23.5160                 |
|    |                                        |                     |                         | LATENCY: 38.1041                    |
|    |                                        |                     |                         | LATENCY_95: 71.7346                 |
|    |                                        |                     |                         | TOP_5_LATENCY: 73.5647              |
|    |                                        |                     |                         | TPOT: 0.2953                        |
|    |                                        |                     |                         | THROUGHPUT: 9787.9799               |
|    |                                        |                     |                         | THROUGHPUT_INPUT_TOKENS: 9734.1274  |
|    |                                        |                     |                         | THROUGHPUT_OUTPUT_TOKENS: 53.8525   |
|    |                                        |                     |                         | RPS: 0.4174                         |
|    |                                        |                     |                         | LONGER_THAN_60_LATENCY: 9           |
|    |                                        |                     |                         | LONGER_THAN_120_LATENCY: 0          |
|    |                                        |                     |                         | LONGER_THAN_180_LATENCY: 0          |
|    |                                        |                     |                         | FAILED_REQUESTS: 0                  |
|    |                                        |                     |                         | FAILED_REQUESTS_PER_HOUR: 0         |
+----+----------------------------------------+---------------------+-------------------------+-------------------------------------+
|  3 | s3_very_long_sequential_long_decode    | 2026-07-24 22:29:24 | Very long prompt, se... | TTFT: 6.2380                        |
|    |                                        |                     |                         | TTFT_95: 21.8274                    |
|    |                                        |                     |                         | TOP_5_TTFT: 26.9343                 |
|    |                                        |                     |                         | LATENCY: 35.6095                    |
|    |                                        |                     |                         | LATENCY_95: 83.6420                 |
|    |                                        |                     |                         | TOP_5_LATENCY: 93.7511              |
|    |                                        |                     |                         | TPOT: 0.1122                        |
|    |                                        |                     |                         | THROUGHPUT: 662.8767                |
|    |                                        |                     |                         | THROUGHPUT_INPUT_TOKENS: 653.9634   |
|    |                                        |                     |                         | THROUGHPUT_OUTPUT_TOKENS: 8.9133    |
|    |                                        |                     |                         | RPS: 0.0281                         |
|    |                                        |                     |                         | LONGER_THAN_60_LATENCY: 1           |
|    |                                        |                     |                         | LONGER_THAN_120_LATENCY: 0          |
|    |                                        |                     |                         | LONGER_THAN_180_LATENCY: 0          |
|    |                                        |                     |                         | FAILED_REQUESTS: 0                  |
|    |                                        |                     |                         | FAILED_REQUESTS_PER_HOUR: 0         |
+----+----------------------------------------+---------------------+-------------------------+-------------------------------------+
|  2 | s2_short_prompt_high_concurrency       | 2026-07-24 22:25:56 | Short prompt, high c... | TTFT: 5.5083                        |
|    |                                        |                     |                         | TTFT_95: 38.3778                    |
|    |                                        |                     |                         | TOP_5_TTFT: 38.3908                 |
|    |                                        |                     |                         | LATENCY: 27.5646                    |
|    |                                        |                     |                         | LATENCY_95: 66.6280                 |
|    |                                        |                     |                         | TOP_5_LATENCY: 74.9876              |
|    |                                        |                     |                         | TPOT: 0.1837                        |
|    |                                        |                     |                         | THROUGHPUT: 1202.4632               |
|    |                                        |                     |                         | THROUGHPUT_INPUT_TOKENS: 1050.9621  |
|    |                                        |                     |                         | THROUGHPUT_OUTPUT_TOKENS: 151.5010  |
|    |                                        |                     |                         | RPS: 1.0095                         |
|    |                                        |                     |                         | LONGER_THAN_60_LATENCY: 31          |
|    |                                        |                     |                         | LONGER_THAN_120_LATENCY: 0          |
|    |                                        |                     |                         | LONGER_THAN_180_LATENCY: 0          |
|    |                                        |                     |                         | FAILED_REQUESTS: 0                  |
|    |                                        |                     |                         | FAILED_REQUESTS_PER_HOUR: 0         |
+----+----------------------------------------+---------------------+-------------------------+-------------------------------------+
|  1 | s1_long_prompt_sequential_short_decode | 2026-07-24 22:24:58 | Long prompt, sequent... | TTFT: 3.2849                        |
|    |                                        |                     |                         | TTFT_95: 11.5724                    |
|    |                                        |                     |                         | TOP_5_TTFT: 14.3017                 |
|    |                                        |                     |                         | LATENCY: 9.5211                     |
|    |                                        |                     |                         | LATENCY_95: 19.8517                 |
|    |                                        |                     |                         | TOP_5_LATENCY: 22.8054              |
|    |                                        |                     |                         | TPOT: 0.1380                        |
|    |                                        |                     |                         | THROUGHPUT: 1093.2621               |
|    |                                        |                     |                         | THROUGHPUT_INPUT_TOKENS: 1086.0151  |
|    |                                        |                     |                         | THROUGHPUT_OUTPUT_TOKENS: 7.2470    |
|    |                                        |                     |                         | RPS: 0.1050                         |
|    |                                        |                     |                         | LONGER_THAN_60_LATENCY: 0           |
|    |                                        |                     |                         | LONGER_THAN_120_LATENCY: 0          |
|    |                                        |                     |                         | LONGER_THAN_180_LATENCY: 0          |
|    |                                        |                     |                         | FAILED_REQUESTS: 0                  |
|    |                                        |                     |                         | FAILED_REQUESTS_PER_HOUR: 0         |
+----+----------------------------------------+---------------------+-------------------------+-------------------------------------+
