
List of Experiments:
+----+----------------------------------------+---------------------+-------------------------+----------------------------------------+
|    | ID                                     | Name                | Date                    | Description                            |
+====+========================================+=====================+=========================+========================================+
| 20 | s4_very_long_max_concurrency           | 2026-07-24 20:15:50 | Very long prompt, ma... | TTFT: 4.7540                           |
|    |                                        |                     |                         | TTFT_95: 13.2714                       |
|    |                                        |                     |                         | TOP_5_TTFT: 13.7302                    |
|    |                                        |                     |                         | LATENCY: 15.7182                       |
|    |                                        |                     |                         | LATENCY_95: 29.3562                    |
|    |                                        |                     |                         | TOP_5_LATENCY: 33.6728                 |
|    |                                        |                     |                         | TPOT: 0.1090                           |
|    |                                        |                     |                         | THROUGHPUT: 25418.4226                 |
|    |                                        |                     |                         | THROUGHPUT_INPUT_TOKENS: 25262.2527    |
|    |                                        |                     |                         | THROUGHPUT_OUTPUT_TOKENS: 156.1698     |
|    |                                        |                     |                         | RPS: 1.0832                            |
|    |                                        |                     |                         | LONGER_THAN_60_LATENCY: 0              |
|    |                                        |                     |                         | LONGER_THAN_120_LATENCY: 0             |
|    |                                        |                     |                         | LONGER_THAN_180_LATENCY: 0             |
|    |                                        |                     |                         | FAILED_REQUESTS: 0                     |
|    |                                        |                     |                         | FAILED_REQUESTS_PER_HOUR: 0            |
+----+----------------------------------------+---------------------+-------------------------+----------------------------------------+
| 19 | s3_very_long_sequential_long_decode    | 2026-07-24 20:15:30 | Very long prompt, se... | TTFT: 0.6415                           |
|    |                                        |                     |                         | TTFT_95: 1.0535                        |
|    |                                        |                     |                         | TOP_5_TTFT: 1.0703                     |
|    |                                        |                     |                         | LATENCY: 1.8217                        |
|    |                                        |                     |                         | LATENCY_95: 2.7961                     |
|    |                                        |                     |                         | TOP_5_LATENCY: 2.8192                  |
|    |                                        |                     |                         | TPOT: 0.0109                           |
|    |                                        |                     |                         | THROUGHPUT: 12874.2662                 |
|    |                                        |                     |                         | THROUGHPUT_INPUT_TOKENS: 12782.7079    |
|    |                                        |                     |                         | THROUGHPUT_OUTPUT_TOKENS: 91.5583      |
|    |                                        |                     |                         | RPS: 0.5489                            |
|    |                                        |                     |                         | LONGER_THAN_60_LATENCY: 0              |
|    |                                        |                     |                         | LONGER_THAN_120_LATENCY: 0             |
|    |                                        |                     |                         | LONGER_THAN_180_LATENCY: 0             |
|    |                                        |                     |                         | FAILED_REQUESTS: 0                     |
|    |                                        |                     |                         | FAILED_REQUESTS_PER_HOUR: 0            |
