tag	kvdt	moe	N	gmu	mnbt	poc_nonce_s	full	kv_tokens	moe_backend_log	cuda_errors
a_bf16	auto	-	256			22.78	1280/1280	6145883	FLASHINFER_TRTLLM	0
a_fp8	fp8	-	256			23.22	1280/1280	11921012	FLASHINFER_TRTLLM	0
b_triton	fp8	triton	256			17.89	1280/1280	11939209	TRITON	0
b_flashinfer_cutlass	fp8	flashinfer_cutlass	256			БУТ			
b_deep_gemm	fp8	deep_gemm	256			21.60	1280/1280	11825480	DEEPGEMM	0
b_cutlass	fp8	cutlass	256			БУТ			
b_marlin	fp8	marlin	256			18.91	1280/1280	11695830	MARLIN	0
c_n128	fp8	-	128			14.62	1280/1280	12239452	FLASHINFER_TRTLLM	0
c_n192	fp8	-	192			15.26	1280/1280	12080232	FLASHINFER_TRTLLM	0
c_n320	fp8	-	320			25.76	1280/1280	11798185	FLASHINFER_TRTLLM	0
c_n384	fp8	-	384			23.83	1280/1280	11670810	FLASHINFER_TRTLLM	0
c_n512	fp8	-	512			26.51	1280/1280	11409234	FLASHINFER_TRTLLM	0
d_gmu95	fp8	-	512	0.95		24.38	1280/1280	12985510	FLASHINFER_TRTLLM	0
d_mnbt16k	fp8	-	512		16384	ОТКАЗ	0/0	12055212	FLASHINFER_TRTLLM	9
d_mnbt64k	fp8	-	512		65536	25.57	1280/1280	10064964	FLASHINFER_TRTLLM	0
d_nomnbt	fp8	-	512		0	25.00	1280/1280	12055212	FLASHINFER_TRTLLM	0
e_r	fp8	-	512			24.39	1280/1280	11409234	FLASHINFER_TRTLLM	0
f_n512	fp8	-	512			29.49	2560/2560	11409234	FLASHINFER_TRTLLM	0
f_n640	fp8	-	640			31.62	2560/2560	11134011	FLASHINFER_TRTLLM	0
f_n768	fp8	-	768			31.95	2560/2560	10849690	FLASHINFER_TRTLLM	0
f_n1024	fp8	-	1024			33.60	2560/2560	10262852	FLASHINFER_TRTLLM	0
f_r	fp8	-	1024			32.68	2560/2560	10262852	FLASHINFER_TRTLLM	0
